문서id,발행일,담당부서,제목,앞두문장,자동제안,강도,자동근거,확정분류(사람이 채움),비고
fsc-71031,2014-02-05,전자금융과,전기통신금융사기 피해금 환급에 관한 특별법 시행령 개정안 입법예고,"Ⅰ . 추진 배경 / □ 전기통신금융사기 피해방지 및 피해금 환급에 관한 특별법 (이하 ‘피싱방지법’) 개정 법률 이 지난 ‘13.12.31일 국회를 통과 하였고 , ‘14.1.28일 공포 및 ’14.7.29일부터 시행 예정",C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-71028,2014-02-05,전자금융과,[금융위]전기통신금융사기 피해금 환급에 관한 특별법 시행령 개정안 입법예고,"Ⅰ . 추진 배경 / □ 전기통신금융사기 피해방지 및 피해금 환급에 관한 특별법 (이하 ‘피싱방지법’) 개정 법률 이 지난 ‘13.12.31일 국회를 통과 하였고 , ‘14.1.28일 공포 및 ’14.7.29일부터 시행 예정",C,C,"경보어는 있으나 수법 묘사 없음(경보,사기)",,
fsc-71203,2014-07-22,전자금융과,전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 시행령 개정안 국무회의 통과,1. 개 요 / □ 제31회 국무회의 ('14. 7.22.)에서 「 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 시행령 」 개정안 이 원안 통과 되었음,C,C,"경보어는 있으나 수법 묘사 없음(경보,사기)",,
fsc-71916,2016-01-08,전자금융과,"[보도참고]전자금융거래법」개정안,「전기통신금융사기 특별법」개정안 국회 본회의 통과",*시행시기 / □ 대포통장 광고행위 금지 및 처벌 규정은 공포 후 즉시 시행,C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-72137,2016-05-11,전자금융과,[금융위]보이스피싱에 가담하지 않은 선의의 사기이용계좌 명의인의 계좌 지급정지가 일부 종료됩니다.”,■ 개정된 ?전기통신금융사기 피해방지 및 피해금 환급에 관한 특별법? 위임사항 규정 (16.7.28 시행) / - 전기통신금융사기 에 사용된 전화번호 이용중지 시 이의절차 신설,C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-73690,2019-05-16,전자금융과,보이스피싱 피해예방을 위한 대국민 홍보 강화,- 의심하고 ! 전화끊고 ! 확인하고 ! - / □ 정부는 관계기관 합동 * 으로 보이스피싱 피해 방지를 위한 보이스피싱 종합대책 * * 을 추진 중에 있음,C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-74163,2020-03-02,전자금융과,코로나19 관련 등 보이스피싱을 예방할 수 있도록 모니터링 및 대응체계를 더욱 강화하겠습니다.,"□ 정부는 최근 코로나 19 로 인한 국민들의 불안감 등을 악용 하는 보이스피싱 전화 , 허위 내용 문자 등의 시도가 늘어날 수 있어 , / ㅇ 국민들께서 이에 현혹되지 않으시도록 주의를 당부 드린 바 있습니다 .",C,C,"경보어는 있으나 수법 묘사 없음(주의,수법)",,
fsc-74398,2020-06-23,가계금융과,불법사금융 근절을 위해 관계부처가 총력대응해 나가겠습니다.,- 연말까지 “불법사금융 특별근절기간” 선포 및 범정부 일제단속 실시 / - 불법사채 이자 제한 및 증액재대출·무자료대출계약 무효화,C,C,B·A 요건 미달,,
fsc-74403,2020-06-24,전자금융과,금융·통신·수사의 협업을 통해 반사회적 민생침해 범죄인 보이스피싱을 척결하겠습니다.,- 디지털 경제 · 금융의 신뢰 기반 조성을 위해 / 『 보이스피싱 척결 종합방안 』 마련 -,C,C,"경보어는 있으나 수법 묘사 없음(경보,수법)",,
fsc-74453,2020-07-16,전자금융과,"「통신사기피해환급법 시행령」을 개정하여 보이스피싱 피해예방 및 피해구제의 효율성을 높이고, 금융권 전담팀(TF) 등을 통해 보이스피싱 척결 종합방안도 차질없이 집행해 나가겠습니다.",홈페이지 개편으로 인해 이미지 깨짐 현상이 발생하고 있어 조치 중입니다. / 이미지 확인이 필요할 경우 첨부 파일을 확인해 주시기 바랍니다.,C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-75770,2021-04-19,가계금융과,"[보도자료] 「채무자대리인 무료지원」, 불법사금융 피해자의 든든한 지킴이가 되겠습니다.","- ‘ 20 년 중 1,429 건 신청 , 이 중 915 건 에 대해 채무자대리인 등 무료 지원 / - 제도 도입 초기임 에도 다수 피해자에게 실질적 도움을 주는 등 성공적 안착",C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-76165,2021-06-30,가계금융과,"[보도자료] 최고금리 인하 시행(24%→20%, 7.7일)에 대응하여관계기관 합동 ｢불법사금융 특별근절기간｣을 운영합니다.",- 관계기관 합동으로 ｢ 불법사금융 범정부 TF ｣ 회의 개최 / - ｢ 불법사금융 특별근절기간 ｣ 4 개월 (7.1 일 ~10.31 일 ) 운영,C,C,B·A 요건 미달,,
fsc-79459,2023-02-21,민생침해 금융범죄 대응단,"[보도참고] 대면편취형 보이스피싱도 피해구제가 가능하며, 처벌수위도 대폭 강화됩니다. - ｢통신사기피해환급법｣ 개정안 국회 정무위 전체회의(’23.2.21) 통과 -",1 / 개정 배경,C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-79511,2023-02-28,민생침해금융범죄대응단,[보도자료] 제2차 금융분야 보이스피싱 대책 발표 - 중대 민생침해 금융범죄 대응방안 당정협의회 관련 -,"□ 어려운 경제상황에서 보이스피싱과 같은 민생침해 범죄 가 증가할 수 있어 정부 는 보이스피싱 엄단을 국정과제로 발표 하고 대응 * 하였습니다. / * 보이스피싱 범죄 정부합동수사단 출범, 보이스피싱 통합 신고·대응센터 설립 중",C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
fsc-80830,2023-09-26,전자금융과,"[보도자료] 보이스피싱, 이제 ‘112’로 신고하세요.","□ 보이스피싱 신고절차 및 피해구제 가 대폭 간소화 된다. 이제 보이스피싱 신고는, 전화는 112 , 인터넷은 ‘보이스피싱지킴이’ 사이트로 일원화 되어, 한 번의 신고로 사건처리 부터 피해구제 까지 원스톱 으로 처리 될 수 있게 된다. / □ 정부는 9.26.(화) 1",C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
